latitude,longitude,name,url,postcode,Registered_accounts_type,subactivity
53.9191,-1.10535,CHROMASOL LIMITED,,YO23 2RR,Micro-entity accounts,"Soap and detergents, cleaning"
53.95896,-1.0842,LUSH LTD.,www.lush.co.uk,YO1 9QL,Full accounts,"Perfumes, toilet preparations"
53.68618,-1.57229,DENYKEM LIMITED,www.denykem.com,WF5 9JA,Total Exemption Small,"Soap and detergents, cleaning"
53.63685,-1.87148,PERRY PRINT LIMITED,,HD7 4JT,Total Exemption Small,Paper stationery
54.06004,-0.258079,GREENSTIK LIMITED,www.greenstik.co.uk,YO15 3QY,Total Exemption Small,"Paper, paperboard"
53.80005,-1.54564,UNILEVER UK LIMITED,www.unilever.com,LS1 8TL,Full accounts,"Soap and detergents, cleaning"
53.83072,-1.75878,LELLI-BOT CRAFTS LTD,,BD18 1JQ,Total Exemption Small,Paper stationery
53.90416,-1.64151,WEIDMANN WHITELEY LIMITED,www.wicor.com,LS21 1RP,Full accounts,"Paper, paperboard"
53.74388,-0.3353,PRINT FINISHED LIMITED,,HU1 2AS,Micro-entity accounts,Paper stationery
53.90715,-1.31871,FERNDALE PHARMACEUTICALS LIMITED,www.ferndalepharma.co.uk,LS23 7FX,Small company,"Perfumes, toilet preparations"
53.76222,-1.74591,THE LONDON OIL REFINING CO. LIMITED,www.astonishcleaners.co.uk,BD6 1DW,Full accounts,"Soap and detergents, cleaning"
53.78184,-1.58766,MABUR CHEMICALS LIMITED,www.maburchemicals.co.uk,LS12 6ER,Total Exemption Small,"Soap and detergents, cleaning"
53.806538,-1.666731,SUNFIELD BUSINESS FORMS LIMITED,www.sunfield-group.co.uk,LS28 6DN,Total Exemption Small,Paper stationery
53.72258,-1.72435,R & D PRODUCTS UK LIMITED,www.rd-products.co.uk,BD19 5DR,Total Exemption Small,"Soap and detergents, cleaning"
53.679401,-1.500734,GEA FARM TECHNOLOGIES (UK) LTD,www.agroserve.co.uk,WF1 5PF,Full accounts,"Soap and detergents, cleaning"
53.63802,-1.83854,PRETTY LITTLE TREAT CO LTD,,HD3 4QS,Micro-entity accounts,"Soap and detergents, cleaning"
53.51428,-1.09676,UNILEVER UK LIMITED,www.unilever.com,DN4 7PD,Full accounts,"Soap and detergents, cleaning"
